,title,year,vote_count,vote_average,popularity,genres,weightedRating
7943,Sherlock Holmes: A Game of Shadows,2011,3971,7,18.695329,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",6.761303031263028
1223,The Fifth Element,1997,3962,7,24.30526,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",6.760880508896841
3999,Ice Age,2002,3954,7,17.328902,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",6.7605036757219885
954,Raiders of the Lost Ark,1981,3949,7,19.901576,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",6.760267551255097
6566,Casino Royale,2006,3930,7,23.065078,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",6.759366016038932
1572,Back to the Future Part II,1989,3926,7,13.689855,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",6.759175354455888
4416,Catch Me If You Can,2002,3917,7,19.833077,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",6.758745259244177
2504,Toy Story 2,1999,3914,7,17.547693,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",6.758601552584208
7717,Limitless,2011,3888,7,12.114955,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",6.757348886203717
8304,The Great Gatsby,2013,3885,7,17.598936,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.757203510691198
8580,The Fault in Our Stars,2014,3868,7,16.274653,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",6.756376414603059
3845,Ocean's Eleven,2001,3857,7,12.114932,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.755838225375568
485,Blade Runner,1982,3833,7,96.272374,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.7546557007376
7832,Drive,2011,3832,7,15.388875,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.754606180250909
8418,12 Years a Slave,2013,3787,7,30.316249,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",6.75235687852591
5127,Eternal Sunshine of the Spotless Mind,2004,3758,7,12.906327,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.750885349445763
1812,Edward Scissorhands,1990,3731,7,17.612244,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.749499497143261
7342,Zombieland,2009,3655,7,11.063029,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",6.745514476375246
4123,The Bourne Identity,2002,3640,7,21.040126,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",6.7447129303366165
8327,Monsters University,2013,3622,7,16.267502,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",6.743744384840043
3799,Donnie Darko,2001,3574,7,18.303148,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",6.7411253001096805
521,Aladdin,1992,3495,7,16.357419,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",6.736696162220103
7606,The Social Network,2010,3492,7,16.972995,"[{'id': 18, 'name': 'Drama'}]",6.7365249782062895
8680,Nightcrawler,2014,3475,7,21.277073,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.7355507154989995
8143,Argo,2012,3473,7,14.238234,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.735435622456174
7278,District 9,2009,3451,7,11.589835,"[{'id': 878, 'name': 'Science Fiction'}]",6.734162955226988
2286,American Beauty,1999,3438,7,20.726578,"[{'id': 18, 'name': 'Drama'}]",6.733405152932879
7660,Tangled,2010,3419,7,14.684761,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",6.732289791569803
100,Braveheart,1995,3404,7,20.755149,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",6.7314026288960545
3854,Amélie,2001,3403,7,12.879381,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.731343275607704
8711,The Theory of Everything,2014,3403,7,11.85302,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.731343275607704
7114,The Curious Case of Benjamin Button,2008,3398,7,17.934821,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",6.7310461152630525
8585,22 Jump Street,2014,3375,7,10.901496,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]",6.72967066737117
888,E.T. the Extra-Terrestrial,1982,3359,7,19.358546,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",6.728705507081516
3221,Cast Away,2000,3304,7,21.296343,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",6.725334551652607
956,Aliens,1986,3282,7,21.761179,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",6.723962596366158
8577,Mission: Impossible - Rogue Nation,2015,3274,7,17.836882,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",6.723460299207329
2211,The Sixth Sense,1999,3223,7,18.449169,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",6.720214677460096
1044,Indiana Jones and the Last Crusade,1989,3221,7,14.788987,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",6.7200858450603445
8454,The Secret Life of Walter Mitty,2013,3213,7,8.684892,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",6.719569326806085
6437,The Devil Wears Prada,2006,3198,7,13.102384,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.718595699341519
8394,Prisoners,2013,3183,7,11.96262,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.717615287646932
7105,Gran Torino,2008,3181,7,14.794228,"[{'id': 18, 'name': 'Drama'}]",6.717484049689803
8351,The Conjuring,2013,3169,7,14.90169,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",6.71669405309109
5447,The Notebook,2004,3163,7,15.239013,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",6.716297395677207
8587,How to Train Your Dragon 2,2014,3163,7,12.256689,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",6.716297395677207
6780,Into the Wild,2007,3139,7,15.423538,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",6.714699596244216
8499,The Lego Movie,2014,3127,7,16.418133,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",6.713893928421684
6530,Pan's Labyrinth,2006,3122,7,26.817754,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",6.71355688894428
3871,A Beautiful Mind,2001,3087,7,11.93646,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.711175193480092
6813,No Country for Old Men,2007,3083,7,15.565484,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.710900475444691
744,2001: A Space Odyssey,1968,3075,7,22.494622,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",6.710349468584148
8129,The Perks of Being a Wallflower,2012,3056,7,12.775679,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.709032371107387
527,Beauty and the Beast,1991,3029,7,23.433511,"[{'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]",6.707139967103893
1366,The Big Lebowski,1998,3001,7,15.952524,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",6.705151297335961
8586,The Equalizer,2014,2997,7,17.618057,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",6.704864994765039
7262,(500) Days of Summer,2009,2993,7,16.376657,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.704578135645406
1573,Back to the Future Part III,1990,2978,7,13.043999,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",6.703497429381304
8426,Dallas Buyers Club,2013,2973,7,14.785719,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",6.703135434740222
3211,Snatch,2000,2953,7,14.014025,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.701678573743707
6740,The Bourne Ultimatum,2007,2938,7,18.173269,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",6.700576509564354
7067,Slumdog Millionaire,2008,2918,7,11.258181,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.6990943618045495
6997,Watchmen,2009,2892,7,16.551503,"[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",6.697145491090849
1351,Good Will Hunting,1997,2880,7,15.064833,"[{'id': 18, 'name': 'Drama'}]",6.69623747237535
5497,The Bourne Supremacy,2004,2873,7,20.40426,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.695705275926091
1674,Indiana Jones and the Temple of Doom,1984,2841,7,15.802306,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",6.693248438067089
7659,The King's Speech,2010,2817,7,11.260387,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",6.691379616041809
6096,Sin City,2005,2755,7,15.010525,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.68644474633391
7757,Source Code,2011,2752,7,9.796962,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}]",6.686201956286162
8988,Spotlight,2015,2751,7,14.63239,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 36, 'name': 'History'}]",6.686120942695075
640,Trainspotting,1996,2737,7,19.348466,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",6.684982344259498
9025,The Big Short,2015,2679,7,13.143061,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",6.680175950816831
9042,Me Before You,2016,2674,7,34.34759,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.6797547306488
7647,127 Hours,2010,2668,7,11.176797,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.679247799555482
4137,Minority Report,2002,2663,7,20.666063,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}]",6.678824129401147
8995,Bridge of Spies,2015,2633,7,13.707888,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",6.676258417062124
1124,Jaws,1975,2628,7,19.726114,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",6.675826807656543
6477,The Pursuit of Happyness,2006,2607,7,20.981716,"[{'id': 18, 'name': 'Drama'}]",6.674001410263073
977,Full Metal Jacket,1987,2595,7,13.94148,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",6.672949066399931
3155,Requiem for a Dream,2000,2525,7,6.874828,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",6.666672385654192
7834,"Crazy, Stupid, Love.",2011,2522,7,10.246173,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.666397996771788
5978,Million Dollar Baby,2004,2519,7,14.471373,"[{'id': 18, 'name': 'Drama'}]",6.666123155773907
8411,Captain Phillips,2013,2495,7,13.776068,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.663908016651491
7786,Fast Five,2011,2491,7,1.420361,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.663535965969752
519,Home Alone,1990,2487,7,0.702543,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",6.663163090661912
5584,Shaun of the Dead,2004,2479,7,14.902948,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",6.6624148551771825
7951,The Girl with the Dragon Tattoo,2011,2479,7,8.907829,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",6.6624148551771825
31,Twelve Monkeys,1995,2470,7,12.297305,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",6.661569106846426
8941,Sicario,2015,2465,7,19.511221,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",6.661097413010843
2172,Ghostbusters,1984,2431,7,22.089729,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",6.6578546911226155
9065,The Nice Guys,2016,2382,7,16.075615,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",6.653070670995064
1018,Groundhog Day,1993,2358,7,12.989627,"[{'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",6.650678329914694
6578,Blood Diamond,2006,2344,7,12.477872,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",6.649267499260068
6841,Juno,2007,2313,7,11.791591,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.646102596330881
8114,Pitch Perfect,2012,2310,7,11.03595,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",6.6457932815042255
8397,Rush,2013,2310,7,10.63552,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",6.6457932815042255
8927,The Man from U.N.C.L.E.,2015,2306,7,14.656875,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",6.645380019669555
9086,Nerve,2016,2262,7,14.9837,"[{'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]",6.640769666539152
5624,Saw,2004,2255,7,23.508433,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}]",6.640025125669184
6638,Hot Fuzz,2007,2252,7,13.535195,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",6.6397050911080795
7917,Hugo,2011,2197,7,14.046164,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",6.633735271264417
1529,The Breakfast Club,1985,2189,7,12.627678,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",6.632850413551701
7588,Scott Pilgrim vs. the World,2010,2185,7,13.793301,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",6.632406379462751
6747,Superbad,2007,2152,7,16.205105,"[{'id': 35, 'name': 'Comedy'}]",6.628701703956482
524,Batman,1989,2145,7,19.10673,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",6.627906243323469
8381,About Time,2013,2140,7,11.213913,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",6.627335967212819
494,The Nightmare Before Christmas,1993,2135,7,17.730913,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",6.626763940392676
2816,Predator,1987,2129,7,18.495694,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",6.626075185899952
2821,American Psycho,2000,2128,7,13.686715,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",6.625960146269721
6550,Children of Men,2006,2120,7,14.114606,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",6.625037274683908
5078,The Butterfly Effect,2004,2119,7,12.994939,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",6.624921595432561
8940,Southpaw,2015,2112,7,12.370126,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",6.624109837816937
7111,Seven Pounds,2008,2092,7,21.708267,"[{'id': 18, 'name': 'Drama'}]",6.621771048853628
1471,Mulan,1998,2089,7,21.180857,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",6.621417717953261
535,Fargo,1996,2080,7,12.61469,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.6203537532585255
6647,Zodiac,2007,2080,7,19.083823,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",6.6203537532585255
8216,The Impossible,2012,2071,7,10.027434,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",6.619283791393218
5021,Big Fish,2003,2064,7,14.739983,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",6.618447420108932
8857,The Age of Adaline,2015,2052,7,10.542026,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.6170050590458365
7795,Midnight in Paris,2011,2049,7,11.43256,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.616642763270197
1558,The Exorcist,1973,2046,7,12.137595,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",6.616279781414942
9074,The Conjuring 2,2016,2018,7,14.767317,"[{'id': 27, 'name': 'Horror'}]",6.612858508290378
8590,Boyhood,2014,2008,7,6.430591,"[{'id': 18, 'name': 'Drama'}]",6.611621792561686
8181,Rise of the Guardians,2012,1981,7,10.943775,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",6.608242849595638
5444,The Terminal,2004,1974,7,14.092373,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",6.607357208188574
8667,Predestination,2014,1971,7,10.524204,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",6.60697642058418
7847,The Help,2011,1966,7,7.486118,"[{'id': 18, 'name': 'Drama'}]",6.60634013062916
4397,Gangs of New York,2002,1964,7,14.922399,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 80, 'name': 'Crime'}]",6.606085037401212
9013,Creed,2015,1963,7,33.449723,"[{'id': 18, 'name': 'Drama'}]",6.605957366770955
6230,Corpse Bride,2005,1957,7,12.920032,"[{'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 10402, 'name': 'Music'}]",6.605189601687051
5020,The Last Samurai,2003,1946,7,19.582325,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10752, 'name': 'War'}, {'id': 36, 'name': 'History'}]",6.603774233944435
4767,Lost in Translation,2003,1943,7,11.609441,"[{'id': 18, 'name': 'Drama'}]",6.603386461615157
8945,The Intern,2015,1926,7,15.651705,"[{'id': 35, 'name': 'Comedy'}]",6.601174668493342
8217,Les Misérables,2012,1925,7,13.52408,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",6.601043794524875
1640,The Little Mermaid,1989,1921,7,17.496832,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",6.600519438599955
4884,Love Actually,2003,1917,7,10.586815,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",6.599993702518623
5,Heat,1995,1886,7,17.924927,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.595871845311496
7246,The Hurt Locker,2008,1881,7,9.403724,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",6.595199060876041
1314,Gattaca,1997,1846,7,12.89312,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",6.59042610815089
1515,Rocky,1976,1843,7,14.774066,"[{'id': 18, 'name': 'Drama'}]",6.590011755390538
3882,Black Hawk Down,2001,1832,7,10.064446,"[{'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",6.58848526246788
7206,Moon,2009,1831,7,13.336773,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",6.5883459265372455
4671,28 Days Later,2002,1816,7,17.656951,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",6.586244507022564
529,Pretty Woman,1990,1807,7,13.348451,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",6.5849733254028475
1637,The Jungle Book,1967,1791,7,22.845448,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",6.582694054862052
7416,Hachi: A Dog's Tale,2009,1769,7,8.621359,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",6.579518869556305
2062,10 Things I Hate About You,1999,1768,7,12.069966,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",6.579373394490418
1522,Rain Man,1988,1762,7,11.267467,"[{'id': 18, 'name': 'Drama'}]",6.578498425819963
6847,Sweeney Todd: The Demon Barber of Fleet Street,2007,1745,7,10.038401,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 10402, 'name': 'Music'}]",6.575999462731081
2336,Total Recall,1990,1745,7,12.954444,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",6.575999462731081
911,Monty Python and the Holy Grail,1975,1742,7,10.43389,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",6.575555390111403
1245,Hercules,1997,1741,7,14.048694,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.575407159123805
6460,Little Miss Sunshine,2006,1728,7,5.320117,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",6.573470691634544
2148,Tarzan,1999,1715,7,12.453452,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",6.571516479676852
3698,The Others,2001,1708,7,11.046007,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",6.570456776227777
8048,Moonrise Kingdom,2012,1701,7,8.692433,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.569391818174933
